Id,Label,timeset,Significant
1,AGS,,
2,AIG,,
3,AIP,,
4,ALN,,
93,ANO,,
6,APH,,
7,APP,,
8,BAG,,
9,BIN,,
10,BQY,,
11,BQZ,,
12,BRQ,,
13,BTH,,
14,BTN,,
15,CDN,,
16,CHA,,
17,CHE,,
18,CLE,,
19,CLO,,
20,COL,,
21,COZ,,
22,CRA,,
23,CRD,,
24,CRS,,
25,DEC,,
26,DEJ,,
27,ECL,,
28,EPE,,
29,EPG,,
96,combat,,
94,craft production,,TRUE
32,FIB,,
33,FLW,,
34,HEM,,
35,JHA,,
36,KNO,,
91,LAM,,
38,LMP,,
39,NVT,,
40,PCT,,
41,PDH,,
42,PDS,,
43,MEU,,
44,PSN,,
45,PZZ,,
46,SCA,,
47,SGT,,
48,SLA,,
49,SPA,,
50,SPV,,
51,STU,,
52,TAC,,
53,TEG,,
54,TES,,
55,TOO,,
56,VSH,,
57,VSL,,
58,VSR,,
59,WAS,,
60,tool,,
61,textile,,
62,economic,,TRUE
63,stonework,,
64,domestic,,TRUE
65,leatherwork,,
66,woodwork,,
67,ring,,
68,jewelry,,
69,personal,,TRUE
70,harness,,
71,real estate,,TRUE
72,architecture,,
73,furniture,,
74,carpentry,,
75,gaming,,
76,cultural,,TRUE
77,metalwork,,
95,hunting,,
79,artificial light,,
80,toilette,,
81,commerce,,
82,exchange,,TRUE
83,agriculture,,TRUE
84,livestock,,TRUE
85,vessel,,
86,writing,,
87,ceramic production,,
88,clothing,,
89,mosaic,,
90,iron production,,
92,decoration,,
97,craft refuse,,TRUE
98,transportation,,TRUE
99,food preparation,,
100,MON,,TRUE
101,TGE,,
102,MVO,,
103,votive,,
104,ceramic mold,,
105,religion,,
106,EPZ,,
107,PGR,,
108,MTR,,
109,SCU,,
110,PAR,,
111,DAU,,
112,OPS,,
113,PMA,,
114,INS,,
115,BLV,,
